"name"	"code"	"region"
"医疗分级"	"502056"	"sh"
"医疗A"	"502057"	"sh"
"医疗B"	"502058"	"sh"
"嘉实元和"	"505888"	"sh"
"治理ETF"	"510010"	"sh"
"超大ETF"	"510020"	"sh"
"价值ETF"	"510030"	"sh"
"50ETF"	"510050"	"sh"
"央企ETF"	"510060"	"sh"
"民企ETF"	"510070"	"sh"
"责任ETF"	"510090"	"sh"
"周期ETF"	"510110"	"sh"
"非周ETF"	"510120"	"sh"
"中盘ETF"	"510130"	"sh"
"消费ETF"	"510150"	"sh"
"小康ETF"	"510160"	"sh"
"商品ETF"	"510170"	"sh"
"180ETF"	"510180"	"sh"
"龙头ETF"	"510190"	"sh"
"综指ETF"	"510210"	"sh"
"中小ETF"	"510220"	"sh"
"金融ETF"	"510230"	"sh"
"新兴ETF"	"510260"	"sh"
"国企ETF"	"510270"	"sh"
"成长ETF"	"510280"	"sh"
"380ETF"	"510290"	"sh"
"300ETF"	"510300"	"sh"
"HS300ETF"	"510310"	"sh"
"华夏300"	"510330"	"sh"
"工银300"	"510350"	"sh"
"广发300"	"510360"	"sh"
"国寿300"	"510380"	"sh"
"平安300"	"510390"	"sh"
"资源ETF"	"510410"	"sh"
"180EWETF"	"510420"	"sh"
"50等权"	"510430"	"sh"
"500沪市"	"510440"	"sh"
"180高ETF"	"510450"	"sh"
"500ETF"	"510500"	"sh"
"广发500"	"510510"	"sh"
"诺安500"	"510520"	"sh"
"方正500"	"510550"	"sh"
"国寿500"	"510560"	"sh"
"ZZ500ETF"	"510580"	"sh"
"平安500"	"510590"	"sh"
"沪50ETF"	"510600"	"sh"
"能源行业"	"510610"	"sh"
"材料行业"	"510620"	"sh"
"消费行业"	"510630"	"sh"
"金融行业"	"510650"	"sh"
"医药行业"	"510660"	"sh"
"万家50"	"510680"	"sh"
"百强ETF"	"510700"	"sh"
"上50ETF"	"510710"	"sh"
"上证50"	"510800"	"sh"
"上海国企"	"510810"	"sh"
"上海改革"	"510820"	"sh"
"工银上50"	"510850"	"sh"
"红利ETF"	"510880"	"sh"
"红利低波"	"510890"	"sh"
"H股ETF"	"510900"	"sh"
"国债ETF"	"511010"	"sh"
"活跃国债"	"511020"	"sh"
"公司债"	"511030"	"sh"
"企债ETF"	"511210"	"sh"
"城投ETF"	"511220"	"sh"
"周期债"	"511230"	"sh"
"十年国债"	"511260"	"sh"
"10年地债"	"511270"	"sh"
"中期信用"	"511280"	"sh"
"国债十年"	"511290"	"sh"
"十年债"	"511310"	"sh"
"货币ETF"	"511600"	"sh"
"货币基金"	"511620"	"sh"
"华夏快线"	"511650"	"sh"
"建信添益"	"511660"	"sh"
"华泰天金"	"511670"	"sh"
"安信货币"	"511680"	"sh"
"交易货币"	"511690"	"sh"
"场内货币"	"511700"	"sh"
"德邦货币"	"511760"	"sh"
"金鹰增益"	"511770"	"sh"
"易货币"	"511800"	"sh"
"理财金H"	"511810"	"sh"
"鹏华添利"	"511820"	"sh"
"华泰货币"	"511830"	"sh"
"财富宝E"	"511850"	"sh"
"博时货币"	"511860"	"sh"
"银华日利"	"511880"	"sh"
"景顺货币"	"511890"	"sh"
"富国货币"	"511900"	"sh"
"融通货币"	"511910"	"sh"
"广发货币"	"511920"	"sh"
"中融日盈"	"511930"	"sh"
"广发添利"	"511950"	"sh"
"嘉实快线"	"511960"	"sh"
"国寿货币"	"511970"	"sh"
"现金添富"	"511980"	"sh"
"华宝添益"	"511990"	"sh"
"券商ETF"	"512000"	"sh"
"医药ETF"	"512010"	"sh"
"国信价值"	"512040"	"sh"
"非银ETF"	"512070"	"sh"
"MSCI易基"	"512090"	"sh"
"1000ETF"	"512100"	"sh"
"中证地产"	"512110"	"sh"
"医药50"	"512120"	"sh"
"A50ETF"	"512150"	"sh"
"MSCI基金"	"512160"	"sh"
"医疗ETF"	"512170"	"sh"
"建信MSCI"	"512180"	"sh"
"之江凤凰"	"512190"	"sh"
"房地产"	"512200"	"sh"
"景顺食品"	"512210"	"sh"
"景顺TMT"	"512220"	"sh"
"景顺医药"	"512230"	"sh"
"500低波"	"512260"	"sh"
"300低波"	"512270"	"sh"
"景顺MSCI"	"512280"	"sh"
"生物医药"	"512290"	"sh"
"500医药"	"512300"	"sh"
"500工业"	"512310"	"sh"
"500信息"	"512330"	"sh"
"500原料"	"512340"	"sh"
"MSCI国际"	"512360"	"sh"
"银华MSCI"	"512380"	"sh"
"MSCI低波"	"512390"	"sh"
"有色金属"	"512400"	"sh"
"半导体"	"512480"	"sh"
"中证500"	"512500"	"sh"
"ETF500"	"512510"	"sh"
"MSCIETF"	"512520"	"sh"
"富时A50"	"512550"	"sh"
"中证军工"	"512560"	"sh"
"中证证券"	"512570"	"sh"
"环保ETF"	"512580"	"sh"
"高股息"	"512590"	"sh"
"主要消费"	"512600"	"sh"
"医药卫生"	"512610"	"sh"
"金融地产"	"512640"	"sh"
"军工ETF"	"512660"	"sh"
"国防ETF"	"512670"	"sh"
"军工基金"	"512680"	"sh"
"酒ETF"	"512690"	"sh"
"银行基金"	"512700"	"sh"
"军工龙头"	"512710"	"sh"
"计算机"	"512720"	"sh"
"基本面50"	"512750"	"sh"
"半导体50"	"512760"	"sh"
"战略新兴"	"512770"	"sh"
"京津冀基"	"512780"	"sh"
"民企成长"	"512790"	"sh"
"银行ETF"	"512800"	"sh"
"军工行业"	"512810"	"sh"
"银行股基"	"512820"	"sh"
"北京50"	"512850"	"sh"
"MSCI中国"	"512860"	"sh"
"杭州湾区"	"512870"	"sh"
"证券ETF"	"512880"	"sh"
"红利LV"	"512890"	"sh"
"证券基金"	"512900"	"sh"
"100ETF"	"512910"	"sh"
"MSCI新华"	"512920"	"sh"
"AIETF"	"512930"	"sh"
"央企改革"	"512950"	"sh"
"央调ETF"	"512960"	"sh"
"传媒ETF"	"512980"	"sh"
"MSCIA股"	"512990"	"sh"
"225ETF"	"513000"	"sh"
"德国30"	"513030"	"sh"
"中概互联"	"513050"	"sh"
"纳指ETF"	"513100"	"sh"
"标普500"	"513500"	"sh"
"日经ETF"	"513520"	"sh"
"恒指ETF"	"513600"	"sh"
"恒生通"	"513660"	"sh"
"建信H股"	"513680"	"sh"
"东证ETF"	"513800"	"sh"
"日经225"	"513880"	"sh"
"港股100"	"513900"	"sh"
"科技ETF"	"515000"	"sh"
"通信ETF"	"515880"	"sh"
"黄金基金"	"518800"	"sh"
"黄金ETF"	"518880"	"sh"
"云化CWB1"	"580012"	"sh"
"武钢CWB1"	"580013"	"sh"
"深高CWB1"	"580014"	"sh"
"上汽CWB1"	"580016"	"sh"
"赣粤CWB1"	"580017"	"sh"
"石化CWB1"	"580019"	"sh"
"上港CWB1"	"580020"	"sh"
"青啤CWB1"	"580021"	"sh"
"国电CWB1"	"580022"	"sh"
"康美CWB1"	"580023"	"sh"
"宝钢CWB1"	"580024"	"sh"
"葛洲CWB1"	"580025"	"sh"
"江铜CWB1"	"580026"	"sh"
"长虹CWB1"	"580027"	"sh"
"浦发银行"	"600000"	"sh"
"邯郸钢铁"	"600001"	"sh"
"齐鲁石化"	"600002"	"sh"
"ST东北高"	"600003"	"sh"
"白云机场"	"600004"	"sh"
"武钢股份"	"600005"	"sh"
"东风汽车"	"600006"	"sh"
"中国国贸"	"600007"	"sh"
"首创股份"	"600008"	"sh"
"上海机场"	"600009"	"sh"
"包钢股份"	"600010"	"sh"
"华能国际"	"600011"	"sh"
"皖通高速"	"600012"	"sh"
"华夏银行"	"600015"	"sh"
"民生银行"	"600016"	"sh"
"日照港"	"600017"	"sh"
"上港集团"	"600018"	"sh"
"宝钢股份"	"600019"	"sh"
"中原高速"	"600020"	"sh"
"上海电力"	"600021"	"sh"
"山东钢铁"	"600022"	"sh"
"浙能电力"	"600023"	"sh"
"华能水电"	"600025"	"sh"
"中远海能"	"600026"	"sh"
"华电国际"	"600027"	"sh"
"中国石化"	"600028"	"sh"
"南方航空"	"600029"	"sh"
"中信证券"	"600030"	"sh"
"三一重工"	"600031"	"sh"
"福建高速"	"600033"	"sh"
"楚天高速"	"600035"	"sh"
"招商银行"	"600036"	"sh"
"歌华有线"	"600037"	"sh"
"中直股份"	"600038"	"sh"
"四川路桥"	"600039"	"sh"
"保利地产"	"600048"	"sh"
"中国联通"	"600050"	"sh"
"宁波联合"	"600051"	"sh"
"浙江广厦"	"600052"	"sh"
"九鼎投资"	"600053"	"sh"
"黄山旅游"	"600054"	"sh"
"万东医疗"	"600055"	"sh"
"中国医药"	"600056"	"sh"
"厦门象屿"	"600057"	"sh"
"五矿发展"	"600058"	"sh"
"古越龙山"	"600059"	"sh"
"海信电器"	"600060"	"sh"
"国投资本"	"600061"	"sh"
"华润双鹤"	"600062"	"sh"
"皖维高新"	"600063"	"sh"
"南京高科"	"600064"	"sh"
"*ST联谊"	"600065"	"sh"
"宇通客车"	"600066"	"sh"
"冠城大通"	"600067"	"sh"
"葛洲坝"	"600068"	"sh"
"银鸽投资"	"600069"	"sh"
"浙江富润"	"600070"	"sh"
"凤凰光学"	"600071"	"sh"
"中船科技"	"600072"	"sh"
"上海梅林"	"600073"	"sh"
"*ST保千"	"600074"	"sh"
"新疆天业"	"600075"	"sh"
"康欣新材"	"600076"	"sh"
"宋都股份"	"600077"	"sh"
"澄星股份"	"600078"	"sh"
"人福医药"	"600079"	"sh"
"金花股份"	"600080"	"sh"
"东风科技"	"600081"	"sh"
"海泰发展"	"600082"	"sh"
"博信股份"	"600083"	"sh"
"*ST中葡"	"600084"	"sh"
"同仁堂"	"600085"	"sh"
"东方金钰"	"600086"	"sh"
"退市长油"	"600087"	"sh"
"中视传媒"	"600088"	"sh"
"特变电工"	"600089"	"sh"
"同济堂"	"600090"	"sh"
"ST明科"	"600091"	"sh"
"S*ST精密"	"600092"	"sh"
"易见股份"	"600093"	"sh"
"大名城"	"600094"	"sh"
"哈高科"	"600095"	"sh"
"云天化"	"600096"	"sh"
"开创国际"	"600097"	"sh"
"广州发展"	"600098"	"sh"
"林海股份"	"600099"	"sh"
"同方股份"	"600100"	"sh"
"明星电力"	"600101"	"sh"
"莱钢股份"	"600102"	"sh"
"青山纸业"	"600103"	"sh"
"上汽集团"	"600104"	"sh"
"永鼎股份"	"600105"	"sh"
"重庆路桥"	"600106"	"sh"
"美尔雅"	"600107"	"sh"
"亚盛集团"	"600108"	"sh"
"国金证券"	"600109"	"sh"
"诺德股份"	"600110"	"sh"
"北方稀土"	"600111"	"sh"
"ST天成"	"600112"	"sh"
"浙江东日"	"600113"	"sh"
"东睦股份"	"600114"	"sh"
"东方航空"	"600115"	"sh"
"三峡水利"	"600116"	"sh"
"西宁特钢"	"600117"	"sh"
"中国卫星"	"600118"	"sh"
"*ST长投"	"600119"	"sh"
"浙江东方"	"600120"	"sh"
"郑州煤电"	"600121"	"sh"
"宏图高科"	"600122"	"sh"
"兰花科创"	"600123"	"sh"
"铁龙物流"	"600125"	"sh"
"杭钢股份"	"600126"	"sh"
"金健米业"	"600127"	"sh"
"弘业股份"	"600128"	"sh"
"太极集团"	"600129"	"sh"
"波导股份"	"600130"	"sh"
"岷江水电"	"600131"	"sh"
"重庆啤酒"	"600132"	"sh"
"东湖高新"	"600133"	"sh"
"乐凯胶片"	"600135"	"sh"
"当代明诚"	"600136"	"sh"
"浪莎股份"	"600137"	"sh"
"中青旅"	"600138"	"sh"
"西部资源"	"600139"	"sh"
"兴发集团"	"600141"	"sh"
"金发科技"	"600143"	"sh"
"*ST新亿"	"600145"	"sh"
"商赢环球"	"600146"	"sh"
"长春一东"	"600148"	"sh"
"ST坊展"	"600149"	"sh"
"中国船舶"	"600150"	"sh"
"航天机电"	"600151"	"sh"
"维科技术"	"600152"	"sh"
"建发股份"	"600153"	"sh"
"华创阳安"	"600155"	"sh"
"华升股份"	"600156"	"sh"
"永泰能源"	"600157"	"sh"
"中体产业"	"600158"	"sh"
"大龙地产"	"600159"	"sh"
"巨化股份"	"600160"	"sh"
"天坛生物"	"600161"	"sh"
"香江控股"	"600162"	"sh"
"中闽能源"	"600163"	"sh"
"新日恒力"	"600165"	"sh"
"福田汽车"	"600166"	"sh"
"联美控股"	"600167"	"sh"
"武汉控股"	"600168"	"sh"
"太原重工"	"600169"	"sh"
"上海建工"	"600170"	"sh"
"上海贝岭"	"600171"	"sh"
"黄河旋风"	"600172"	"sh"
"卧龙地产"	"600173"	"sh"
"美都能源"	"600175"	"sh"
"中国巨石"	"600176"	"sh"
"雅戈尔"	"600177"	"sh"
"东安动力"	"600178"	"sh"
"ST安通"	"600179"	"sh"
"瑞茂通"	"600180"	"sh"
"S*ST云大"	"600181"	"sh"
"S佳通"	"600182"	"sh"
"生益科技"	"600183"	"sh"
"光电股份"	"600184"	"sh"
"格力地产"	"600185"	"sh"
"*ST莲花"	"600186"	"sh"
"国中水务"	"600187"	"sh"
"兖州煤业"	"600188"	"sh"
"吉林森工"	"600189"	"sh"
"锦州港"	"600190"	"sh"
"华资实业"	"600191"	"sh"
"长城电工"	"600192"	"sh"
"ST创兴"	"600193"	"sh"
"中牧股份"	"600195"	"sh"
"复星医药"	"600196"	"sh"
"伊力特"	"600197"	"sh"
"大唐电信"	"600198"	"sh"
"金种子酒"	"600199"	"sh"
"江苏吴中"	"600200"	"sh"
"生物股份"	"600201"	"sh"
"哈空调"	"600202"	"sh"
"福日电子"	"600203"	"sh"
"S山东铝"	"600205"	"sh"
"有研新材"	"600206"	"sh"
"安彩高科"	"600207"	"sh"
"新湖中宝"	"600208"	"sh"
"ST罗顿"	"600209"	"sh"
"紫江企业"	"600210"	"sh"
"西藏药业"	"600211"	"sh"
"江泉实业"	"600212"	"sh"
"亚星客车"	"600213"	"sh"
"长春经开"	"600215"	"sh"
"浙江医药"	"600216"	"sh"
"中再资环"	"600217"	"sh"
"全柴动力"	"600218"	"sh"
"南山铝业"	"600219"	"sh"
"江苏阳光"	"600220"	"sh"
"海航控股"	"600221"	"sh"
"太龙药业"	"600222"	"sh"
"鲁商发展"	"600223"	"sh"
"天津松江"	"600225"	"sh"
"瀚叶股份"	"600226"	"sh"
"圣济堂"	"600227"	"sh"
"ST昌九"	"600228"	"sh"
"城市传媒"	"600229"	"sh"
"沧州大化"	"600230"	"sh"
"凌钢股份"	"600231"	"sh"
"金鹰股份"	"600232"	"sh"
"圆通速递"	"600233"	"sh"
"*ST山水"	"600234"	"sh"
"民丰特纸"	"600235"	"sh"
"桂冠电力"	"600236"	"sh"
"铜峰电子"	"600237"	"sh"
"ST椰岛"	"600238"	"sh"
"云南城投"	"600239"	"sh"
"*ST华业"	"600240"	"sh"
"时代万恒"	"600241"	"sh"
"中昌数据"	"600242"	"sh"
"青海华鼎"	"600243"	"sh"
"万通地产"	"600246"	"sh"
"ST成城"	"600247"	"sh"
"延长化建"	"600248"	"sh"
"两面针"	"600249"	"sh"
"南纺股份"	"600250"	"sh"
"冠农股份"	"600251"	"sh"
"中恒集团"	"600252"	"sh"
"天方药业"	"600253"	"sh"
"梦舟股份"	"600255"	"sh"
"广汇能源"	"600256"	"sh"
"大湖股份"	"600257"	"sh"
"首旅酒店"	"600258"	"sh"
"广晟有色"	"600259"	"sh"
"凯乐科技"	"600260"	"sh"
"阳光照明"	"600261"	"sh"
"北方股份"	"600262"	"sh"
"路桥建设"	"600263"	"sh"
"ST景谷"	"600265"	"sh"
"北京城建"	"600266"	"sh"
"海正药业"	"600267"	"sh"
"国电南自"	"600268"	"sh"
"赣粤高速"	"600269"	"sh"
"外运发展"	"600270"	"sh"
"航天信息"	"600271"	"sh"
"开开实业"	"600272"	"sh"
"嘉化能源"	"600273"	"sh"
"ST昌鱼"	"600275"	"sh"
"恒瑞医药"	"600276"	"sh"
"亿利洁能"	"600277"	"sh"
"东方创业"	"600278"	"sh"
"重庆港九"	"600279"	"sh"
"中央商场"	"600280"	"sh"
"太化股份"	"600281"	"sh"
"南钢股份"	"600282"	"sh"
"钱江水利"	"600283"	"sh"
"浦东建设"	"600284"	"sh"
"羚锐制药"	"600285"	"sh"
"S*ST国瓷"	"600286"	"sh"
"江苏舜天"	"600287"	"sh"
"大恒科技"	"600288"	"sh"
"*ST信通"	"600289"	"sh"
"华仪电气"	"600290"	"sh"
"西水股份"	"600291"	"sh"
"远达环保"	"600292"	"sh"
"三峡新材"	"600293"	"sh"
"鄂尔多斯"	"600295"	"sh"
"S兰铝"	"600296"	"sh"
"广汇汽车"	"600297"	"sh"
"安琪酵母"	"600298"	"sh"
"安迪苏"	"600299"	"sh"
"维维股份"	"600300"	"sh"
"ST南化"	"600301"	"sh"
"标准股份"	"600302"	"sh"
"曙光股份"	"600303"	"sh"
"恒顺醋业"	"600305"	"sh"
"商业城"	"600306"	"sh"
"酒钢宏兴"	"600307"	"sh"
"华泰股份"	"600308"	"sh"
"万华化学"	"600309"	"sh"
"桂东电力"	"600310"	"sh"
"荣华实业"	"600311"	"sh"
"平高电气"	"600312"	"sh"
"农发种业"	"600313"	"sh"
"上海家化"	"600315"	"sh"
"洪都航空"	"600316"	"sh"
"营口港"	"600317"	"sh"
"新力金融"	"600318"	"sh"
"亚星化学"	"600319"	"sh"
"振华重工"	"600320"	"sh"
"ST正源"	"600321"	"sh"
"天房发展"	"600322"	"sh"
"瀚蓝环境"	"600323"	"sh"
"华发股份"	"600325"	"sh"
"西藏天路"	"600326"	"sh"
"大东方"	"600327"	"sh"
"兰太实业"	"600328"	"sh"
"中新药业"	"600329"	"sh"
"天通股份"	"600330"	"sh"
"宏达股份"	"600331"	"sh"
"白云山"	"600332"	"sh"
"长春燃气"	"600333"	"sh"
"国机汽车"	"600335"	"sh"
"澳柯玛"	"600336"	"sh"
"美克家居"	"600337"	"sh"
"西藏珠峰"	"600338"	"sh"
"中油工程"	"600339"	"sh"
"华夏幸福"	"600340"	"sh"
"航天动力"	"600343"	"sh"
"长江通信"	"600345"	"sh"
"恒力石化"	"600346"	"sh"
"阳泉煤业"	"600348"	"sh"
"富通昭和"	"600349"	"sh"
"山东高速"	"600350"	"sh"
"亚宝药业"	"600351"	"sh"
"浙江龙盛"	"600352"	"sh"
"旭光股份"	"600353"	"sh"
"敦煌种业"	"600354"	"sh"
"精伦电子"	"600355"	"sh"
"恒丰纸业"	"600356"	"sh"
"承德钒钛"	"600357"	"sh"
"国旅联合"	"600358"	"sh"
"新农开发"	"600359"	"sh"
"华微电子"	"600360"	"sh"
"华联综超"	"600361"	"sh"
"江西铜业"	"600362"	"sh"
"联创光电"	"600363"	"sh"
"通葡股份"	"600365"	"sh"
"宁波韵升"	"600366"	"sh"
"红星发展"	"600367"	"sh"
"五洲交通"	"600368"	"sh"
"西南证券"	"600369"	"sh"
"三房巷"	"600370"	"sh"
"万向德农"	"600371"	"sh"
"中航电子"	"600372"	"sh"
"中文传媒"	"600373"	"sh"
"华菱星马"	"600375"	"sh"
"首开股份"	"600376"	"sh"
"宁沪高速"	"600377"	"sh"
"昊华科技"	"600378"	"sh"
"宝光股份"	"600379"	"sh"
"健康元"	"600380"	"sh"
"青海春天"	"600381"	"sh"
"广东明珠"	"600382"	"sh"
"金地集团"	"600383"	"sh"
"*ST金泰"	"600385"	"sh"
"北巴传媒"	"600386"	"sh"
"海越能源"	"600387"	"sh"
"龙净环保"	"600388"	"sh"
"江山股份"	"600389"	"sh"
"五矿资本"	"600390"	"sh"
"航发科技"	"600391"	"sh"
"盛和资源"	"600392"	"sh"
"粤泰股份"	"600393"	"sh"
"盘江股份"	"600395"	"sh"
"*ST金山"	"600396"	"sh"
"安源煤业"	"600397"	"sh"
"海澜之家"	"600398"	"sh"
"ST抚钢"	"600399"	"sh"
"红豆股份"	"600400"	"sh"
"退市海润"	"600401"	"sh"
"大有能源"	"600403"	"sh"
"动力源"	"600405"	"sh"
"国电南瑞"	"600406"	"sh"
"ST安泰"	"600408"	"sh"
"三友化工"	"600409"	"sh"
"华胜天成"	"600410"	"sh"
"小商品城"	"600415"	"sh"
"湘电股份"	"600416"	"sh"
"江淮汽车"	"600418"	"sh"
"天润乳业"	"600419"	"sh"
"现代制药"	"600420"	"sh"
"*ST仰帆"	"600421"	"sh"
"昆药集团"	"600422"	"sh"
"*ST柳化"	"600423"	"sh"
"青松建化"	"600425"	"sh"
"华鲁恒升"	"600426"	"sh"
"中远海特"	"600428"	"sh"
"三元股份"	"600429"	"sh"
"退市吉恩"	"600432"	"sh"
"XD冠豪高"	"600433"	"sh"
"北方导航"	"600435"	"sh"
"片仔癀"	"600436"	"sh"
"通威股份"	"600438"	"sh"
"瑞贝卡"	"600439"	"sh"
"国机通用"	"600444"	"sh"
"金证股份"	"600446"	"sh"
"华纺股份"	"600448"	"sh"
"宁夏建材"	"600449"	"sh"
"涪陵电力"	"600452"	"sh"
"博通股份"	"600455"	"sh"
"宝钛股份"	"600456"	"sh"
"时代新材"	"600458"	"sh"
"贵研铂业"	"600459"	"sh"
"士兰微"	"600460"	"sh"
"洪城水业"	"600461"	"sh"
"*ST九有"	"600462"	"sh"
"空港股份"	"600463"	"sh"
"蓝光发展"	"600466"	"sh"
"好当家"	"600467"	"sh"
"百利电气"	"600468"	"sh"
"风神股份"	"600469"	"sh"
"六国化工"	"600470"	"sh"
"包头铝业"	"600472"	"sh"
"华光股份"	"600475"	"sh"
"湘邮科技"	"600476"	"sh"
"杭萧钢构"	"600477"	"sh"
"科力远"	"600478"	"sh"
"千金药业"	"600479"	"sh"
"凌云股份"	"600480"	"sh"
"双良节能"	"600481"	"sh"
"中国动力"	"600482"	"sh"
"福能股份"	"600483"	"sh"
